source_id,source_name,source_provider,source_type,pages_used_on,source_data_location,source_endpoint_or_provenance,transformer_script_or_pipeline,derived_data_location,transformer_applied,site_build_consumes_derived_data,audit_notes
boundary-electoral-districts,2022 electoral-district boundaries,"Táilte Éireann / Ordnance Survey Ireland (original static boundary download); CSO ArcGIS (later regeneration service)",Static/downloaded dataset with local simplification,"People; Education; Employment; Housing; Transport",src/data/geo/electoral-districts-2022.geojson,"Initial version was the Observable source notebook's refined_constituencyFile.geojson static asset (project-owner attribution: Táilte Éireann/OSI). On 2026-07-31 it was regenerated from the CSO Electoral Divisions 2022 Generalised 20 m ArcGIS service.",build-electoral-districts.mjs (Mapshaper weighted simplification at 6% retention; infrequent maintenance only),src/data/geo/electoral-districts-2022.geojson,Yes,"No; pages use this versioned simplified GeoJSON directly","The original download/simplification settings are not preserved. The current reproducible maintenance script fetches the CSO-published generalized layer, simplifies it, applies reviewed fallback geometries where required, and validates all 3,420 EDs."
oira-members,Current Dáil members,Oireachtas API,API/programmatically retrieved,"People; Education; Employment; Housing; Transport; all spotlight pages",n/a,"https://api.oireachtas.ie/v1/members?date_start=2024-11-15&chamber=dail&house_no=34",build-members-lookup.mjs,src/data/members-lookup.json,Yes,"Yes; page uses generated JSON",Part of build-parliamentary-activity.mjs.
oira-contributions,Recent Dáil debate contributions,Oireachtas API,API/programmatically retrieved,"People; Education; Employment; Housing; Transport; Health Services; Derelict Sites; Road Safety; Sports Funding",n/a,"https://api.oireachtas.ie/v1/debates",build-recent-contributions.mjs; build-derelict-contributions.mjs,src/data/derived/recent-member-contributions.json; src/data/derived/recent-{sports|work|housing|transport|education|derelict}-contributions.json,Yes,"Yes; page uses generated JSON",Topic variants are filtered snapshots; records are limited per member.
pq-explorer,Parliamentary questions by constituency,PQ Explorer GitHub repository,API/programmatically retrieved,"People; Education; Employment; Housing; Transport; Derelict Sites; Road Safety; Sports Funding",n/a,"https://raw.githubusercontent.com/bubcass/pq-explorer/main/src/data/pq",build-recent-questions.mjs,src/data/derived/recent-questions.json; src/data/derived/recent-{sports|work|housing|transport|education}-questions.json,Yes,"Yes; page uses generated JSON",Filters to sitting Deputies and topic matcher; can alternatively read a local PQ Explorer checkout.
transport-access,"NaPTAN public-transport access nodes; Rail Network Segment",National Transport Authority; Tailte Éireann,API/programmatically retrieved,Transport,n/a,"https://www.transportforireland.ie/transitData/Data/NaPTAN.json; https://services-eu1.arcgis.com/FH5XCsx8rYXqnjF5/arcgis/rest/services/Rail_Network_Segment/FeatureServer/3",build-transport-access.mjs,src/data/derived/transport-access.json,Yes,"Yes; page uses generated JSON",Spatially assigns stop and rail features to site ED and constituency boundaries.
road-collisions,RSA collision map download,Road Safety Authority,Static/downloaded dataset,Road Safety,src/data/data_road_accidents.csv,"Manual snapshot retrieved 2026-07-17; RSA Map of collisions",spotlights/build-road-safety.mjs -> build-browser-data.mjs,src/data/derived/road-accidents-normalized.csv; src/data/derived/browser/road-accidents-normalized.json,Yes,"Yes; browser JSON only",Normalizes labels and dates; calculates displayed road-user totals; spatially assigns constituency and ED.
sports-funding,Community Sport Facilities Fund allocation dataset,Parliamentary Budget Office,Static/downloaded dataset,Sports Funding,src/data/data_sports_funding.csv,"PBO bespoke sports funding dataset",spotlights/build-sports-funding.mjs -> spotlights/build-sports-funding-waterfall.mjs,src/data/derived/sports-funding-enriched.json; src/data/derived/waterfall-segments.json,Yes,"Yes; page uses derived JSON",Enrichment assigns constituency; waterfall is a second derivative.
derelict-sites,Local-authority derelict-sites registers and spatial data,Irish local authorities,Static/downloaded dataset,Derelict Sites,src/data/source/derelict-sites-harmonised.csv,"Working national consolidation retrieved and verified 2026-08-08",spotlights/build-derelict-sites.mjs -> build-browser-data.mjs,src/data/derived/derelict-sites-normalized.csv; src/data/derived/browser/derelict-sites-normalized.json,Yes,"Yes; browser JSON only",Normalizes text and maps valid coordinate points to constituencies.
health-services,"Health centres; hospitals; GPs; pharmacies",HSE Ireland via GeoHive,Static/downloaded dataset,Health Services,"src/data/source/health-centres-hse-ireland.csv; src/data/source/hospitals-hse-ireland.csv; src/data/source/gps-hse-ireland.csv; src/data/source/pharmacies-hse-ireland.csv","HSE Ireland datasets supplied through GeoHive; source files processed 2026-08-05",spotlights/build-health-services.mjs -> build-browser-data.mjs,src/data/derived/health-services-normalized.csv; src/data/derived/browser/health-services-normalized.json,Yes,"Yes; browser JSON only",Cleans character encoding and coordinates; deduplicates GP practice locations; spatially assigns constituency and ED.
planning-applications,National Planning Application Database map feed,Department of Housing / GeoHive,Static/downloaded dataset,Housing,src/data/source/irish-planning-applications-map-feed.csv.gz,"https://planning.geohive.ie/datasets/housinggovie::irishplanningapplications/about",spotlights/build-planning-applications.mjs -> build-browser-data.mjs,src/data/derived/planning-applications-normalized.csv; src/data/derived/browser/planning-applications-normalized.json,Yes,"Yes; browser JSON only",Decompresses CSV; standardizes and classifies development type; spatially assigns constituency and ED.
